PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
4.0,2022.0,32.0,4.0,8.0,4.0,5.0,128.0,4500.0,2160.0,5.0,25.0,68.0,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
1.0,2021.0,5.0,2.0,4.0,3.0,5.0,64.0,5000.0,0.0,3.0,15.0,0.0,1,2.0,1,0,PLS IPS Touchscreen,0,MediaTek Helio P35 (12nm),"Octa core, up to 2.35 GHz",PowerVR GE8320,1,1
3.0,2021.0,32.0,4.0,8.0,4.0,5.0,128.0,4500.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 778G 5G (6 nm),"Octa core, up to 2.4 GHz",Adreno 642L,1,1
1.0,2021.0,13.0,2.0,6.0,3.0,5.0,128.0,6000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
4.0,2021.0,4.0,3.0,12.0,4.0,5.2,256.0,4400.0,2160.0,6.0,25.0,30.0,1,3.2,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
4.0,2021.0,10.0,7.0,8.0,4.0,5.1,128.0,3300.0,2160.0,6.0,15.0,30.0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
1.0,2021.0,20.0,2.0,6.0,3.0,5.0,128.0,6000.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1.0,2021.0,13.0,4.0,6.0,3.0,5.0,128.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
2.0,2021.0,32.0,3.0,8.0,3.0,5.0,128.0,7000.0,2160.0,5.0,25.0,0.0,1,2.0,1,1,Super AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1.0,2021.0,8.0,3.0,6.0,3.0,5.0,128.0,6000.0,1080.0,3.0,15.0,0.0,1,2.0,1,0,PLS IPS Touchscreen,0,Exynos 850 (8nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
3.0,2021.0,32.0,4.0,8.0,3.0,5.0,256.0,5000.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2.0,2021.0,32.0,4.0,8.0,3.0,5.0,128.0,4500.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2.0,2021.0,20.0,4.0,6.0,3.0,5.0,128.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
0.0,2021.0,5.0,4.0,3.0,3.0,5.0,32.0,5000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS IPS Touchscreen,0,Mediatek MT6739W (28 nm),"Quad-core, 1.5 GHz",PowerVR GE8100,0,1
